game_date,home_points,away_points,home_possessions,away_possessions,home_id,away_id,winner_id,season_id
2013-02-10,107,97,86,85,24,27,24,4
2013-02-12,117,104,87,86,24,16,24,4
2013-02-24,109,105,86,88,24,28,24,4
2013-02-26,141,129,109,107,24,11,24,4
2013-03-01,98,91,87,88,24,21,24,4
2013-03-06,97,96,92,93,24,6,24,4
2013-03-08,102,93,89,88,24,14,24,4
2013-03-10,105,91,86,84,24,5,24,4
2013-03-12,98,81,96,96,24,30,24,4
2013-03-22,103,89,93,94,24,4,24,4
2013-03-24,109,77,93,92,24,3,24,4
2013-04-02,90,102,84,83,24,7,7,4
2013-04-06,106,87,88,87,24,14,24,4
2013-04-09,94,83,93,93,24,18,24,4
2013-04-12,109,101,93,93,24,1,24,4
2013-04-14,105,93,97,96,24,25,24,4
2013-04-17,105,93,88,87,24,6,24,4
2012-10-30,94,84,92,91,28,15,28,4
2012-11-02,86,115,94,94,28,25,25,4
2012-11-17,95,103,93,93,28,23,23,4
2012-11-21,92,83,88,87,28,14,28,4
2012-11-27,78,91,94,94,28,13,13,4
2012-12-01,117,118,104,105,28,16,16,4
2012-12-05,85,95,87,89,28,25,25,4
2012-12-08,97,104,86,85,28,4,4,4
2012-12-11,100,94,98,97,28,27,28,4
2012-12-14,86,90,96,96,28,18,18,4
2012-12-18,99,113,85,86,28,8,8,4
2012-12-21,89,99,95,95,28,5,5,4
2012-12-28,94,102,92,92,28,30,30,4
2013-01-02,94,97,92,92,28,11,11,4
2013-01-05,104,112,98,98,28,9,9,4
2013-01-09,99,83,88,87,28,30,28,4
2013-01-22,95,90,93,93,28,1,28,4
2013-01-25,113,108,100,100,28,18,28,4
2013-01-29,95,108,92,91,28,2,2,4
2013-02-02,115,110,99,98,28,29,28,4
2013-02-06,122,95,91,90,28,3,28,4
2013-02-08,119,108,96,96,28,6,28,4
2013-02-09,103,111,98,98,28,26,26,4
